Bandit,Reward,Algorithm
3,3.730508897441442,EpsilonGreedy
3,3.737153993037514,EpsilonGreedy
3,4.433159589273116,EpsilonGreedy
3,3.0723654571478693,EpsilonGreedy
3,6.8835933955645885,EpsilonGreedy
3,4.6879389491212695,EpsilonGreedy
3,4.943083000197126,EpsilonGreedy
3,5.622720721483342,EpsilonGreedy
3,4.65716686520151,EpsilonGreedy
3,3.925492037199282,EpsilonGreedy
3,2.0941415754804646,EpsilonGreedy
3,4.283901479009735,EpsilonGreedy
3,5.178479245953723,EpsilonGreedy
3,3.030150211195143,EpsilonGreedy
3,3.4709636013836196,EpsilonGreedy
3,3.7893817704582395,EpsilonGreedy
3,3.517671639654179,EpsilonGreedy
3,4.563786648764329,EpsilonGreedy
3,3.863912251846742,EpsilonGreedy
3,2.3925953690210147,EpsilonGreedy
3,5.621284362506444,EpsilonGreedy
3,3.791758399260687,EpsilonGreedy
3,4.175357424524665,EpsilonGreedy
3,3.844316736877573,EpsilonGreedy
3,3.1453032654812016,EpsilonGreedy
3,2.6106890373496316,EpsilonGreedy
3,3.9187382406337554,EpsilonGreedy
3,2.985655396567879,EpsilonGreedy
3,4.411674046339376,EpsilonGreedy
3,3.614767835997966,EpsilonGreedy
3,4.099602152576624,EpsilonGreedy
3,5.662976449018213,EpsilonGreedy
3,5.35967811215702,EpsilonGreedy
3,4.610702390946874,EpsilonGreedy
3,4.666028509381064,EpsilonGreedy
3,5.430500698518352,EpsilonGreedy
3,4.680341210599484,EpsilonGreedy
3,5.449179263425009,EpsilonGreedy
3,2.8190286951009345,EpsilonGreedy
3,4.6973150795015295,EpsilonGreedy
3,1.7587985402855515,EpsilonGreedy
3,3.707606560889362,EpsilonGreedy
3,3.270520973910753,EpsilonGreedy
3,4.801366494569921,EpsilonGreedy
3,4.093697955733131,EpsilonGreedy
3,5.035923794135126,EpsilonGreedy
3,3.3183274660824815,EpsilonGreedy
3,3.4913286562709613,EpsilonGreedy
3,3.8655779527535232,EpsilonGreedy
3,5.152318901337531,EpsilonGreedy
3,4.200392438741253,EpsilonGreedy
3,4.3075235818909485,EpsilonGreedy
3,4.435739884004895,EpsilonGreedy
3,4.597864835890032,EpsilonGreedy
3,5.454008725888068,EpsilonGreedy
3,4.585245182574745,EpsilonGreedy
